size,sorted,stable,timeTaken
10,true,true,5.43E-5
10,true,true,1.22205E-4
10,true,true,1.33574E-4
10,true,true,2.06039E-4
10,true,true,2.70489E-4
10,true,true,3.52328E-4
10,true,true,3.69298E-4
10,true,true,4.27895E-4
10,true,true,4.45721E-4
100,true,true,5.2688E-4
100,true,true,0.001205442
100,true,true,0.002124093
100,true,true,0.003212825
100,true,true,0.003937204
100,true,true,0.004491964
100,true,true,0.005083661
100,true,true,0.005889116
100,true,true,0.007110296
1000,true,true,0.007980316
1000,true,true,0.016928168
1000,true,true,0.027102472
1000,true,true,0.03798961
1000,true,true,0.046920676
1000,true,true,0.05848434
1000,true,true,0.07535954
1000,true,true,0.07610159
1000,true,true,0.086663544
10000,true,true,0.10241475
10000,true,true,0.21628597
10000,true,true,0.31527355
10000,true,true,0.45494214
10000,true,true,0.5497667
10000,true,true,0.6904075
10000,true,true,0.83252937
10000,true,true,0.93067044
10000,true,true,1.0829374
