size,sorted,stable,timeTaken
10,true,false,4.3317E-5
10,true,false,6.3568E-5
10,true,false,7.028E-5
10,true,false,1.28441E-4
10,true,false,1.90418E-4
10,true,false,2.17626E-4
10,true,false,2.70118E-4
10,true,false,2.58733E-4
10,true,false,3.00659E-4
100,true,false,3.8481E-4
100,true,false,8.63108E-4
100,true,false,0.001526105
100,true,false,0.00202845
100,true,false,0.002798023
100,true,false,0.003358957
100,true,false,0.003812291
100,true,false,0.004392651
100,true,false,0.005194973
1000,true,false,0.006285472
1000,true,false,0.013114428
1000,true,false,0.023285737
1000,true,false,0.029964732
1000,true,false,0.039744303
1000,true,false,0.04251684
1000,true,false,0.053517997
1000,true,false,0.063206464
1000,true,false,0.07666547
10000,true,false,0.08597621
10000,true,false,0.1712002
10000,true,false,0.26261523
10000,true,false,0.3542499
10000,true,false,0.50099266
10000,true,false,0.57845145
10000,true,false,0.6790075
10000,true,false,0.783073
10000,true,false,0.9049638
