size,sorted,stable,timeTaken
10,true,true,1.54798E-4
20,true,true,1.57397E-4
30,true,true,2.56277E-4
40,true,true,1.99198E-4
50,true,true,2.65886E-4
60,true,true,2.98657E-4
70,true,true,4.29066E-4
80,true,true,4.52748E-4
90,true,true,5.70239E-4
100,true,true,6.00428E-4
200,true,true,0.001281094
300,true,true,0.002296401
400,true,true,0.003561281
500,true,true,0.003951761
600,true,true,0.005160441
700,true,true,0.006455818
800,true,true,0.006725953
900,true,true,0.007133725
1000,true,true,0.008087918
2000,true,true,0.018211665
3000,true,true,0.03035987
4000,true,true,0.03903261
5000,true,true,0.049771257
6000,true,true,0.059551805
7000,true,true,0.074500866
8000,true,true,0.08626415
9000,true,true,0.096274674
10000,true,true,0.102129966
20000,true,true,0.22178757
30000,true,true,0.34667557
40000,true,true,0.44702798
50000,true,true,0.5539774
60000,true,true,0.7911534
70000,true,true,0.93748325
80000,true,true,1.0615382
90000,true,true,1.2162939
