size,sorted,stable,timeTaken
10,true,true,3.1407E-5
20,true,true,1.5953E-5
30,true,true,1.7316E-5
40,true,true,1.8903E-5
50,true,true,1.2903E-5
60,true,true,1.2071E-5
70,true,true,2.8525E-5
80,true,true,2.8053E-5
90,true,true,3.4346E-5
100,true,true,3.7724E-5
200,true,true,4.3195E-5
300,true,true,6.9452E-5
400,true,true,7.8919E-5
500,true,true,1.04688E-4
600,true,true,6.9265E-5
700,true,true,1.06096E-4
800,true,true,1.63278E-4
900,true,true,1.32028E-4
1000,true,true,1.15515E-4
2000,true,true,3.10113E-4
3000,true,true,2.64376E-4
4000,true,true,3.25371E-4
5000,true,true,4.07966E-4
6000,true,true,4.05267E-4
7000,true,true,4.63762E-4
8000,true,true,5.42581E-4
9000,true,true,5.60519E-4
10000,true,true,6.13072E-4
20000,true,true,0.001352829
30000,true,true,0.001215993
40000,true,true,0.001546874
50000,true,true,0.001835288
60000,true,true,0.001727052
70000,true,true,0.00204347
80000,true,true,0.002300152
90000,true,true,0.002562837
