size,sorted,stable,timeTaken
10,true,true,7.0655E-5
20,true,true,5.8613E-5
30,true,true,1.03051E-4
40,true,true,1.21304E-4
50,true,true,1.17408E-4
60,true,true,1.97171E-4
70,true,true,1.80007E-4
80,true,true,1.69993E-4
90,true,true,1.99126E-4
100,true,true,1.23034E-4
200,true,true,3.69092E-4
300,true,true,8.53685E-4
400,true,true,0.002906878
500,true,true,0.003816445
600,true,true,0.004759799
700,true,true,0.011651767
800,true,true,0.00975662
900,true,true,0.002724884
1000,true,true,0.00328473
2000,true,true,0.013131761
3000,true,true,0.026176335
4000,true,true,0.046872847
5000,true,true,0.077418365
6000,true,true,0.11281877
7000,true,true,0.14410564
8000,true,true,0.20238312
9000,true,true,0.23654996
10000,true,true,0.320065
20000,true,true,1.2320367
30000,true,true,3.0888321
40000,true,true,5.6542954
50000,true,true,7.7634068
60000,true,true,12.600716
70000,true,true,16.84198
80000,true,true,22.211494
90000,true,true,29.15505
