size,sorted,stable,timeTaken
10,true,false,6.133E-6
20,true,false,1.521E-6
30,true,false,1.711E-6
40,true,false,2.123E-6
50,true,false,2.765E-6
60,true,false,3.705E-6
70,true,false,4.635E-6
80,true,false,5.816E-6
90,true,false,6.906E-6
100,true,false,8.353E-6
200,true,false,2.9928E-5
300,true,false,6.395E-5
400,true,false,1.1146E-4
500,true,false,1.72093E-4
600,true,false,2.46025E-4
700,true,false,3.58518E-4
800,true,false,4.55379E-4
900,true,false,5.62827E-4
1000,true,false,7.30599E-4
2000,true,false,0.003189125
3000,true,false,0.006791274
4000,true,false,0.014167204
5000,true,false,0.020790728
6000,true,false,0.026754865
7000,true,false,0.03606834
8000,true,false,0.048364542
9000,true,false,0.061224896
10000,true,false,0.08128346
20000,true,false,0.34014148
30000,true,false,0.8142916
40000,true,false,1.3153104
50000,true,false,2.5076041
60000,true,false,2.936209
70000,true,false,4.103937
80000,true,false,6.052604
90000,true,false,7.492725
