size,sorted,stable,timeTaken
10,true,true,5.575E-6
20,true,true,3.089E-6
30,true,true,3.672E-6
40,true,true,5.572E-6
50,true,true,6.65E-6
60,true,true,8.162E-6
70,true,true,1.0137E-5
80,true,true,1.1575E-5
90,true,true,1.3952E-5
100,true,true,1.9333E-5
200,true,true,6.4095E-5
300,true,true,1.24132E-4
400,true,true,2.33553E-4
500,true,true,3.51978E-4
600,true,true,5.23234E-4
700,true,true,7.64739E-4
800,true,true,9.2934E-4
900,true,true,0.001176934
1000,true,true,0.00147042
2000,true,true,0.005764918
3000,true,true,0.012919143
4000,true,true,0.02674908
5000,true,true,0.036273982
6000,true,true,0.05939539
7000,true,true,0.06612794
8000,true,true,0.089839995
9000,true,true,0.11444323
10000,true,true,0.1431068
20000,true,true,0.57342494
30000,true,true,1.3600068
40000,true,true,2.8573241
50000,true,true,4.2242637
60000,true,true,6.2298794
70000,true,true,8.705297
80000,true,true,12.953015
90000,true,true,16.62383
