size,sorted,stable,timeTaken
10,true,true,5.825E-6
20,true,true,1.38E-6
30,true,true,1.525E-6
40,true,true,2.059E-6
50,true,true,2.816E-6
60,true,true,3.709E-6
70,true,true,4.779E-6
80,true,true,6.21E-6
90,true,true,7.085E-6
100,true,true,8.623E-6
200,true,true,3.031E-5
300,true,true,6.5667E-5
400,true,true,1.14677E-4
500,true,true,1.77089E-4
600,true,true,2.5308E-4
700,true,true,3.4282E-4
800,true,true,4.46307E-4
900,true,true,5.63259E-4
1000,true,true,6.93531E-4
2000,true,true,0.003556895
3000,true,true,0.006277695
4000,true,true,0.013037716
5000,true,true,0.018847568
6000,true,true,0.027983977
7000,true,true,0.044546477
8000,true,true,0.050638
9000,true,true,0.0883051
10000,true,true,0.09157985
20000,true,true,0.35528165
30000,true,true,0.8028481
40000,true,true,1.3928196
50000,true,true,2.3629668
60000,true,true,3.365805
70000,true,true,4.902929
80000,true,true,6.315115
90000,true,true,8.281867
