size,sorted,stable,timeTaken
10,true,true,1.15684E-4
20,true,true,1.53671E-4
30,true,true,1.28055E-4
40,true,true,1.4906E-4
50,true,true,1.30457E-4
60,true,true,9.7463E-5
70,true,true,9.6195E-5
80,true,true,1.27698E-4
90,true,true,1.41266E-4
100,true,true,1.63602E-4
200,true,true,2.31106E-4
300,true,true,2.34387E-4
400,true,true,3.34581E-4
500,true,true,4.16128E-4
600,true,true,4.76166E-4
700,true,true,6.69391E-4
800,true,true,7.40469E-4
900,true,true,8.23428E-4
1000,true,true,8.66303E-4
2000,true,true,0.002037139
3000,true,true,0.00313925
4000,true,true,0.003828072
5000,true,true,0.006221004
6000,true,true,0.006632224
7000,true,true,0.007325788
8000,true,true,0.006060547
9000,true,true,0.005557196
10000,true,true,0.006862312
20000,true,true,0.013241893
30000,true,true,0.03483132
40000,true,true,0.066697106
50000,false,true,0.0786534
60000,false,true,0.050927844
70000,true,true,0.013624239
80000,true,true,0.014477454
90000,true,true,0.016711477
