size,sorted,stable,timeTaken
10,true,true,8.841E-6
20,true,true,4.868E-6
30,true,true,5.024E-6
40,true,true,6.359E-6
50,true,true,7.62E-6
60,true,true,8.402E-6
70,true,true,1.0952E-5
80,true,true,1.1623E-5
90,true,true,1.2591E-5
100,true,true,1.4413E-5
200,true,true,2.7726E-5
300,true,true,5.5165E-5
400,true,true,5.5586E-5
500,true,true,7.0946E-5
600,true,true,8.548E-5
700,true,true,9.9925E-5
800,true,true,1.1575E-4
900,true,true,1.29468E-4
1000,true,true,1.43879E-4
2000,true,true,3.44168E-4
3000,true,true,4.66336E-4
4000,true,true,6.2267E-4
5000,true,true,8.50658E-4
6000,true,true,9.51903E-4
7000,true,true,0.001131428
8000,true,true,0.001397037
9000,true,true,0.001555668
10000,true,true,0.001752224
20000,false,true,0.003493141
30000,true,true,0.005350632
40000,true,true,0.007003308
50000,true,true,0.009076863
60000,true,true,0.011443644
70000,true,true,0.016681379
80000,true,true,0.015165365
90000,true,true,0.018011779
