size,sorted,stable,timeTaken
10,true,false,4.103E-6
20,true,false,5.757E-6
30,true,false,7.153E-6
40,true,false,8.681E-6
50,true,false,9.629E-6
60,true,false,1.5694E-5
70,true,false,1.3652E-5
80,true,false,1.6772E-5
90,true,false,2.0321E-5
100,true,false,2.028E-5
200,true,false,5.3313E-5
300,true,false,7.0366E-5
400,true,false,1.04886E-4
500,true,false,1.28515E-4
600,true,false,1.6367E-4
700,true,false,1.79944E-4
800,true,false,2.80555E-4
900,true,false,2.94128E-4
1000,true,false,3.26036E-4
2000,true,false,6.395E-4
3000,true,false,0.001038795
4000,true,false,0.001465546
5000,true,false,0.001681057
6000,true,false,0.002227503
7000,true,false,0.002596938
8000,true,false,0.002901121
9000,true,false,0.00397811
10000,true,false,0.003613004
20000,true,false,0.008998903
30000,true,false,0.014095833
40000,true,false,0.020279985
50000,true,false,0.04438214
60000,true,false,0.040587466
70000,true,false,0.013934694
80000,true,false,0.013259722
90000,true,false,0.015797215
