size,sorted,stable,timeTaken
10,true,true,7.978E-6
20,true,true,4.092E-6
30,true,true,5.617E-6
40,true,true,6.934E-6
50,true,true,7.811E-6
60,true,true,1.1598E-5
70,true,true,1.1153E-5
80,true,true,1.4009E-5
90,true,true,1.3841E-5
100,true,true,1.7046E-5
200,true,true,3.2532E-5
300,true,true,5.0732E-5
400,true,true,6.9757E-5
500,true,true,8.6127E-5
600,true,true,1.04571E-4
700,true,true,1.22411E-4
800,true,true,1.3933E-4
900,true,true,1.79631E-4
1000,true,true,1.85134E-4
2000,true,true,3.74693E-4
3000,true,true,5.74374E-4
4000,true,true,7.88726E-4
5000,true,true,0.001048381
6000,true,true,0.001314772
7000,false,true,0.001423925
8000,true,true,0.001780291
9000,true,true,0.002543321
10000,true,true,0.002572728
20000,true,true,0.004980382
30000,true,true,0.007786162
40000,true,true,0.010576956
50000,true,true,0.013781697
60000,true,true,0.017573316
70000,true,true,0.021580333
80000,true,true,0.023261368
90000,true,true,0.0282123
