size,sorted,stable,timeTaken
10,true,false,3.5532E-5
20,true,false,4.239E-6
30,true,false,4.419E-6
40,true,false,5.022E-6
50,true,false,2.9444E-5
60,true,false,6.865E-6
70,true,false,7.568E-6
80,true,false,9.131E-6
90,true,false,9.949E-6
100,true,false,1.2234E-5
200,true,false,1.9516E-5
300,true,false,3.1591E-5
400,true,false,4.0981E-5
500,true,false,4.7999E-5
600,true,false,6.1576E-5
700,true,false,7.0665E-5
800,true,false,8.1319E-5
900,true,false,8.5258E-5
1000,true,false,6.2369E-5
2000,true,false,8.5149E-5
3000,true,false,1.57511E-4
4000,true,false,1.70156E-4
5000,true,false,2.2609E-4
6000,true,false,2.5623E-4
7000,true,false,3.28616E-4
8000,true,false,3.37915E-4
9000,true,false,3.98779E-4
10000,false,false,4.10579E-4
20000,false,false,0.001006958
30000,false,false,0.001471637
40000,false,false,0.001915915
50000,false,false,0.002347133
60000,false,false,0.002894359
70000,true,false,0.003613713
80000,false,false,0.004058619
90000,true,false,0.004474643
