size,sorted,stable,timeTaken
10,true,true,2.3693E-5
20,true,true,6.461E-6
30,true,true,1.1964E-5
40,true,true,2.3164E-5
50,true,true,3.1449E-5
60,true,true,4.4996E-5
70,true,true,6.0147E-5
80,true,true,7.9234E-5
90,true,true,9.8914E-5
100,true,true,1.19664E-4
200,true,true,4.95331E-4
300,true,true,9.83555E-4
400,true,true,8.92797E-4
500,true,true,0.001136002
600,true,true,0.001907906
700,true,true,0.002029818
800,true,true,0.002397568
900,true,true,0.001835539
1000,true,true,6.02644E-4
2000,true,true,0.001977777
3000,true,true,0.004217572
4000,true,true,0.007561997
5000,true,true,0.011514265
6000,true,true,0.017363045
7000,true,true,0.023446964
8000,true,true,0.03621953
9000,true,true,0.04425219
10000,true,true,0.048020277
20000,true,true,0.22132535
30000,true,true,0.50432825
40000,true,true,0.86553234
50000,true,true,1.2641325
60000,true,true,1.8009511
70000,true,true,2.4437516
80000,true,true,3.215413
90000,true,true,4.2637367
