size,sorted,stable,timeTaken
10,true,true,7.0472E-5
20,true,true,8.711E-6
30,true,true,2.1906E-5
40,true,true,7.7323E-5
50,true,true,4.3358E-5
60,true,true,5.8013E-5
70,true,true,7.7121E-5
80,true,true,9.991E-5
90,true,true,1.28331E-4
100,true,true,4.8992E-5
200,true,true,1.61015E-4
300,true,true,3.38743E-4
400,true,true,6.04143E-4
500,true,true,9.28168E-4
600,true,true,0.001380996
700,true,true,0.001857935
800,true,true,0.002241928
900,true,true,0.011863871
1000,true,true,0.01204566
2000,true,true,0.004195256
3000,true,true,0.009450709
4000,true,true,0.016593652
5000,true,true,0.020944912
6000,true,true,0.034971505
7000,true,true,0.040614147
8000,true,true,0.054511797
9000,true,true,0.06942156
10000,true,true,0.089503594
20000,true,true,0.33202487
30000,true,true,0.73978174
40000,true,true,1.3387251
50000,true,true,2.1029763
60000,true,true,2.933175
70000,true,true,3.9992464
80000,true,true,5.3357134
90000,true,true,7.578272
