size,sorted,stable,timeTaken
10,true,false,3.13E-6
20,true,false,1.709E-6
30,true,false,2.402E-6
40,true,false,3.481E-6
50,true,false,4.436E-6
60,true,false,6.008E-6
70,true,false,7.365E-6
80,true,false,9.032E-6
90,true,false,1.2499E-5
100,true,false,1.3808E-5
200,true,false,4.069E-5
300,true,false,8.225E-5
400,true,false,1.3921E-4
500,true,false,2.08958E-4
600,true,false,2.94098E-4
700,true,false,3.97695E-4
800,true,false,6.16565E-4
900,true,false,0.001045676
1000,true,false,9.51996E-4
2000,true,false,0.003351234
3000,true,false,0.007043488
4000,true,false,0.012123061
5000,true,false,0.018843869
6000,true,false,0.026572932
7000,true,false,0.03648392
8000,true,false,0.04785031
9000,true,false,0.09157377
10000,true,false,0.083956845
20000,true,false,0.32922846
30000,true,false,0.6992821
40000,true,false,1.2548332
50000,true,false,1.9350523
60000,true,false,2.932108
70000,true,false,4.111788
80000,true,false,5.128381
90000,true,false,7.240421
