size,sorted,stable,timeTaken
10,true,true,6.792E-6
20,true,true,2.463E-6
30,true,true,3.152E-6
40,true,true,4.407E-6
50,true,true,5.711E-6
60,true,true,6.689E-6
70,true,true,9.039E-6
80,true,true,1.4337E-5
90,true,true,1.7335E-5
100,true,true,1.8749E-5
200,true,true,5.905E-5
300,true,true,1.3061E-4
400,true,true,2.36434E-4
500,true,true,3.55374E-4
600,true,true,4.94859E-4
700,true,true,6.77226E-4
800,true,true,8.48375E-4
900,true,true,0.00104927
1000,true,true,9.0673E-4
2000,true,true,0.003376495
3000,true,true,0.007215309
4000,true,true,0.012576336
5000,true,true,0.019649051
6000,true,true,0.02836068
7000,true,true,0.039065007
8000,true,true,0.05249682
9000,true,true,0.07040184
10000,true,true,0.0920644
20000,true,true,0.35538638
30000,true,true,0.8352736
40000,true,true,1.4906557
50000,true,true,2.47853
60000,true,true,3.633331
70000,true,true,4.71743
80000,true,true,6.475078
90000,true,true,9.77391
