size,sorted,stable,timeTaken
10,true,false,2.934E-6
20,true,false,1.734E-6
30,true,false,2.617E-6
40,true,false,2.85E-6
50,true,false,3.773E-6
60,true,false,4.929E-6
70,true,false,5.774E-6
80,true,false,7.103E-6
90,true,false,8.427E-6
100,true,false,1.0211E-5
200,true,false,3.5799E-5
300,true,false,7.7092E-5
400,true,false,1.31609E-4
500,true,false,2.02E-4
600,true,false,3.05721E-4
700,true,false,3.90439E-4
800,true,false,4.8633E-4
900,true,false,6.2515E-4
1000,true,false,7.82188E-4
2000,true,false,0.003294048
3000,true,false,0.007214386
4000,true,false,0.012867194
5000,true,false,0.019435747
6000,true,false,0.02847168
7000,true,false,0.039279725
8000,true,false,0.053429425
9000,true,false,0.07371983
10000,true,false,0.08971538
20000,true,false,0.3138413
30000,true,false,0.7143223
40000,true,false,1.2930307
50000,true,false,2.038897
60000,true,false,2.8989573
70000,true,false,4.0693808
80000,true,false,6.6604714
90000,true,false,8.592816
