size,sorted,stable,timeTaken
10,true,true,4.1294E-5
20,true,true,4.2756E-5
30,true,true,7.0764E-5
40,true,true,1.00443E-4
50,true,true,1.47019E-4
60,true,true,1.77308E-4
70,true,true,1.9419E-4
80,true,true,1.81051E-4
90,true,true,2.04962E-4
100,true,true,2.1913E-4
200,true,true,3.78537E-4
300,true,true,6.35062E-4
400,true,true,9.98626E-4
500,true,true,0.001161972
600,true,true,0.001548047
700,true,true,0.002157339
800,true,true,0.002588401
900,true,true,0.003009983
1000,true,true,0.003482861
2000,true,true,0.007481899
3000,true,true,0.011609367
4000,true,true,0.016608236
5000,true,true,0.018371595
6000,true,true,0.021023301
7000,true,true,0.023004187
8000,true,true,0.02497226
9000,true,true,0.028279124
10000,true,true,0.031296454
20000,true,true,0.08767463
30000,true,true,0.11040715
40000,true,true,0.16450197
50000,true,true,0.1906594
60000,true,true,0.2382558
70000,true,true,0.27433702
80000,true,true,0.32648563
90000,true,true,0.37796506
