size,sorted,stable,timeTaken
10,true,true,9.1097E-5
20,true,true,4.5665E-5
30,true,true,5.3483E-5
40,true,true,8.2437E-5
50,true,true,1.01428E-4
60,true,true,1.22525E-4
70,true,true,1.49358E-4
80,true,true,1.44894E-4
90,true,true,1.55048E-4
100,true,true,1.7334E-4
200,true,true,3.92919E-4
300,true,true,6.32003E-4
400,true,true,8.98371E-4
500,true,true,0.001128916
600,true,true,0.001451327
700,true,true,0.002074795
800,true,true,0.002085869
900,true,true,0.002296749
1000,true,true,0.002471917
2000,true,true,0.005685651
3000,true,true,0.009178591
4000,true,true,0.013569901
5000,true,true,0.016341481
6000,true,true,0.01923224
7000,true,true,0.02256078
8000,true,true,0.033280186
9000,true,true,0.030830504
10000,true,true,0.034458775
20000,true,true,0.083462805
30000,true,true,0.117467664
40000,true,true,0.16153207
50000,true,true,0.19628121
60000,true,true,0.24518937
70000,true,true,0.28483906
80000,true,true,0.33533052
90000,true,true,0.3736601
