size,sorted,stable,timeTaken
10,true,true,2.037E-5
20,true,true,3.3204E-5
30,true,true,5.7231E-5
40,true,true,9.6039E-5
50,true,true,1.24615E-4
60,true,true,1.36772E-4
70,true,true,1.6669E-4
80,true,true,1.96474E-4
90,true,true,2.37648E-4
100,true,true,2.55031E-4
200,true,true,6.11478E-4
300,true,true,9.75426E-4
400,true,true,0.001403234
500,true,true,0.001806939
600,true,true,0.002682573
700,true,true,0.002742369
800,true,true,0.003178461
900,true,true,0.003697913
1000,true,true,0.004086053
2000,true,true,0.009228988
3000,true,true,0.01535838
4000,true,true,0.020407278
5000,true,true,0.026918046
6000,true,true,0.033447973
7000,true,true,0.039056957
8000,true,true,0.045514736
9000,true,true,0.058389734
10000,true,true,0.06917784
20000,true,true,0.14063832
30000,true,true,0.2036347
40000,true,true,0.29295158
50000,true,true,0.36281726
60000,true,true,0.4439088
70000,true,true,0.5261767
80000,true,true,0.6304411
90000,true,true,0.7407424
