size,sorted,stable,timeTaken
10,true,true,2.0596E-5
20,true,true,3.0069E-5
30,true,true,5.3145E-5
40,true,true,7.3496E-5
50,true,true,9.7785E-5
60,true,true,1.33152E-4
70,true,true,1.53475E-4
80,true,true,1.75768E-4
90,true,true,2.02358E-4
100,true,true,2.4343E-4
200,true,true,5.3053E-4
300,true,true,0.001026932
400,true,true,0.001431378
500,true,true,0.001592561
600,true,true,0.001968239
700,true,true,0.002523507
800,true,true,0.002974499
900,true,true,0.003136052
1000,true,true,0.003971473
2000,true,true,0.008350751
3000,true,true,0.012726753
4000,true,true,0.018684484
5000,true,true,0.023201285
6000,true,true,0.028824428
7000,true,true,0.034842055
8000,true,true,0.041115392
9000,true,true,0.048524633
10000,true,true,0.055060375
20000,true,true,0.10744536
30000,true,true,0.17357367
40000,true,true,0.23754175
50000,true,true,0.28807014
60000,true,true,0.35895067
70000,true,true,0.4269851
80000,true,true,0.50133145
90000,true,true,0.5508145
