size,sorted,stable,timeTaken
10,true,true,7.9623E-5
20,true,true,2.7469E-5
30,true,true,5.3263E-5
40,true,true,5.265E-5
50,true,true,5.4512E-5
60,true,true,5.8076E-5
70,true,true,7.2157E-5
80,true,true,7.6665E-5
90,true,true,2.38363E-4
100,true,true,1.68933E-4
200,true,true,2.65207E-4
300,true,true,2.01678E-4
400,true,true,2.57888E-4
500,true,true,4.85524E-4
600,true,true,6.1271E-4
700,true,true,5.49554E-4
800,true,true,5.37001E-4
900,true,true,6.63778E-4
1000,true,true,0.001149288
2000,true,true,0.002127577
3000,true,true,0.002098935
4000,true,true,0.002518223
5000,true,true,0.002975777
6000,true,true,0.004012678
7000,true,true,0.004188318
8000,true,true,0.004780759
9000,true,true,0.005417342
