size,sorted,stable,timeTaken
10,true,true,1.19274E-4
20,true,true,2.5728E-4
30,true,true,4.7632E-4
40,true,true,7.93012E-4
50,true,true,0.001417672
60,true,true,0.002098384
70,true,true,0.003093278
80,true,true,0.003972431
90,true,true,0.004814156
100,true,true,0.00553926
200,true,true,0.027180156
300,true,true,0.04526369
400,true,true,0.081062675
500,true,true,0.13488397
600,true,true,0.18227234
700,true,true,0.24711187
800,true,true,0.29481202
900,true,true,0.3699826
1000,true,true,0.45406827
2000,true,true,1.8243201
3000,true,true,4.0883803
4000,true,true,7.3097053
5000,true,true,11.44707
6000,true,true,17.081324
7000,true,true,22.76186
8000,true,true,30.485682
9000,true,true,38.2937
