size,sorted,stable,timeTaken
10,true,false,1.17681E-4
20,true,false,1.13332E-4
30,true,false,2.38166E-4
40,true,false,4.1851E-4
50,true,false,5.77521E-4
60,true,false,7.84248E-4
70,true,false,0.001168663
80,true,false,0.001442231
90,true,false,0.001811288
100,true,false,0.002179328
200,true,false,0.008843005
300,true,false,0.02193306
400,true,false,0.03564344
500,true,false,0.056262024
600,true,false,0.08093163
700,true,false,0.110382944
800,true,false,0.14364846
900,true,false,0.18247895
1000,true,false,0.22862473
2000,true,false,0.9025813
3000,true,false,2.1945808
4000,true,false,3.6367567
5000,true,false,5.9550753
6000,true,false,8.381178
7000,true,false,11.321719
8000,true,false,14.715037
9000,true,false,18.862904
