size,sorted,stable,timeTaken
10,true,true,1.09106E-4
20,true,true,1.87191E-4
30,true,true,3.83564E-4
40,true,true,5.70622E-4
50,true,true,0.001188389
60,true,true,0.001519754
70,true,true,0.002350494
80,true,true,0.002804138
90,true,true,0.003737857
100,true,true,0.004639003
200,true,true,0.018772734
300,true,true,0.03807262
400,true,true,0.07360068
500,true,true,0.1077828
600,true,true,0.17002687
700,true,true,0.22381952
800,true,true,0.31815484
900,true,true,0.37112662
1000,true,true,0.4551783
2000,true,true,1.8093473
3000,true,true,4.2439976
4000,true,true,7.7949743
5000,true,true,11.419071
6000,true,true,16.215372
7000,true,true,22.794203
8000,true,true,29.488209
9000,true,true,36.486378
