size,sorted,stable,timeTaken
10,true,true,1.43872E-4
20,true,true,1.76408E-4
30,true,true,2.66281E-4
40,true,true,4.11905E-4
50,true,true,6.16545E-4
60,true,true,8.48023E-4
70,true,true,0.001131622
80,true,true,0.00152599
90,true,true,0.001890174
100,true,true,0.002315376
200,true,true,0.009244646
300,true,true,0.022021128
400,true,true,0.03648899
500,true,true,0.061928935
600,true,true,0.081595205
700,true,true,0.11011715
800,true,true,0.14344287
900,true,true,0.1833566
1000,true,true,0.22809228
2000,true,true,0.90252835
3000,true,true,2.0705261
4000,true,true,3.6898072
5000,true,true,5.8252406
6000,true,true,8.315775
7000,true,true,11.234495
8000,true,true,15.078683
9000,true,true,19.126198
